河北频道,#genre#
动画电影,http://121.24.99.99:8090/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_donghuadianying_1080p_t10/c16_lb_donghuadianying_1080p_t10.m3u8
北京纪实科教,http://111.225.95.129:33333/hls/58/index.m3u8
华语院线,http://121.24.99.99:8090/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_huayuyuanxian_1080p_t10/c16_lb_huayuyuanxian_1080p_t10.m3u8
卡酷动画,http://111.61.236.247:9081/hls/65/index.m3u8
卡酷动画,http://121.24.99.99:8090/hls/83/index.m3u8
历史秘闻,http://121.24.99.99:8090/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_lishimiwen_1080p_t10/c15_lb_lishimiwen_1080p_t10.m3u8
周末影院,http://121.24.99.99:8090/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_fengxiaogang_1080p_t10/c16_lb_fengxiaogang_1080p_t10.m3u8
国防军事,http://111.61.236.247:9081/hls/61/index.m3u8
女性时尚,http://111.61.236.247:9081/hls/59/index.m3u8
安新电视台,http://111.225.95.129:33333/hls/77/index.m3u8
定兴电视台,http://111.225.95.129:33333/hls/80/index.m3u8
定州电视台,http://111.225.95.129:33333/hls/72/index.m3u8
宫廷正剧,http://121.24.99.99:8090/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_niandaijuchang_1080p_t10/c15_lb_niandaijuchang_1080p_t10.m3u8
少儿动画,http://121.24.99.99:8090/hls/105/index.m3u8
山东教育,http://111.225.95.129:33333/hls/48/index.m3u8
廊坊公共,http://111.61.236.247:9081/hls/56/index.m3u8
廊坊导视,http://111.61.236.247:9081/hls/57/index.m3u8
廊坊新闻,http://111.61.236.247:9081/hls/55/index.m3u8
张家口万隆滑雪场画面,http://111.225.95.129:33333/hls/107/index.m3u8
张家口人头山画面,http://111.225.95.129:33333/hls/97/index.m3u8
张家口康巴诺尔湿地画面,http://111.225.95.129:33333/hls/98/index.m3u8
快乐垂钓,http://111.225.95.129:33333/hls/118/index.m3u8
怀旧剧场,http://111.61.236.247:9081/hls/67/index.m3u8
承德武烈河画面,http://111.225.95.129:33333/hls/103/index.m3u8
承德金山岭长城画面,http://111.225.95.129:33333/hls/99/index.m3u8
承德金山岭长城画面2,http://111.225.95.129:33333/hls/102/index.m3u8
承德雾灵山画面,http://111.225.95.129:33333/hls/104/index.m3u8
抗战剧场,http://121.24.99.99:8090/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_kangzhanjuchang_1080p_t10/c15_lb_kangzhanjuchang_1080p_t10.m3u8
摄影,http://111.225.95.129:33333/hls/87/index.m3u8
文物宝库,http://111.61.236.247:9081/hls/64/index.m3u8
文物宝库,http://121.24.99.99:8090/hls/47/index.m3u8
新动漫,http://111.225.95.129:33333/hls/121/index.m3u8
曲阳电视台,http://111.225.95.129:33333/hls/71/index.m3u8
望都电视台,http://111.225.95.129:33333/hls/69/index.m3u8
梨园,http://111.225.95.129:33333/hls/88/index.m3u8
梨园,http://121.24.99.99:8090/hls/45/index.m3u8
欢乐剧场,http://121.24.99.99:8090/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_xijudianying_1080p_t10/c16_lb_xijudianying_1080p_t10.m3u8
欢笑剧场,http://111.225.95.129:33333/hls/126/index.m3u8
武术世界,http://111.61.236.247:9081/hls/60/index.m3u8
永年影视,http://121.24.99.99:8090/hls/65/index.m3u8
永年新闻综合,http://121.24.99.99:8090/hls/62/index.m3u8
永年民生,http://121.24.99.99:8090/hls/64/index.m3u8
海南旅游,http://121.24.99.99:8090/hls/80/index.m3u8
涞源综合,http://111.225.95.129:33333/hls/79/index.m3u8
涿州电视台,http://111.225.95.129:33333/hls/76/index.m3u8
清苑电视台,http://111.225.95.129:33333/hls/74/index.m3u8
游戏竞技,http://121.24.99.99:8090/hls/74/index.m3u8
游戏风云,http://111.225.95.129:33333/hls/125/index.m3u8
满城电视台,http://111.225.95.129:33333/hls/70/index.m3u8
热播剧场,http://121.24.99.99:8090/hls/104/index.m3u8
环球奇观,http://111.61.236.247:9081/hls/63/index.m3u8
环球旅游,http://111.225.95.129:33333/hls/123/index.m3u8
生活时尚,http://111.225.95.129:33333/hls/128/index.m3u8
电影,http://121.24.99.99:8090/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_dongzuodianying_1080p_t10/c16_lb_dongzuodianying_1080p_t10.m3u8
相声小品,http://121.24.99.99:8090/hls/101/index.m3u8
秦皇岛山海关画面,http://111.225.95.129:33333/hls/89/index.m3u8
秦皇岛湿地画面,http://111.225.95.129:33333/hls/94/index.m3u8
秦皇岛碣石山画面,http://111.225.95.129:33333/hls/100/index.m3u8
秦皇岛老龙头,http://111.225.95.129:33333/hls/84/index.m3u8
童年经典,http://121.24.99.99:8090/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_balalaxiaomoxian_1080p_t10/c15_lb_balalaxiaomoxian_1080p_t10.m3u8
纪实人文,http://111.225.95.129:33333/hls/36/index.m3u8
纪实人文,http://121.24.99.99:8090/hls/108/index.m3u8
经典港片,http://121.24.99.99:8090/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_jingdianguangpian_1080p_t10/c15_lb_jingdianguangpian_1080p_t10.m3u8
经典电影,http://121.24.99.99:8090/hls/103/index.m3u8
茶,http://111.225.95.129:33333/hls/117/index.m3u8
谍战剧场,http://121.24.99.99:8090/hls/107/index.m3u8
谍战剧场,http://121.24.99.99:8090/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_diezhanjuchang_1080p_t10/c16_lb_diezhanjuchang_1080p_t10.m3u8
财富天下,http://111.225.95.129:33333/hls/92/index.m3u8
车迷,http://111.225.95.129:33333/hls/124/index.m3u8
邢台北武当山画面,http://111.225.95.129:33333/hls/105/index.m3u8
邯郸丛台公园画面,http://111.225.95.129:33333/hls/101/index.m3u8
邯郸公共,http://121.24.99.99:8090/hls/88/index.m3u8
邯郸新闻,http://121.24.99.99:8090/hls/87/index.m3u8
邯郸科教,http://121.24.99.99:8090/hls/89/index.m3u8
都市剧场,http://111.225.95.129:33333/hls/129/index.m3u8
野外,http://121.24.99.99:8090/hls/106/index.m3u8
金鹰卡通,http://111.225.95.129:33333/hls/62/index.m3u8
